Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Recommended_Crop,Chemical/Component,Threshold,Disease,Affected Crops
106,85,53,27.1994597,78.8086068,5.91505509,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
86,95,49,28.05484146,78.04602887,6.458714879,"Wheat, Maize",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
83,79,55,25.14748006,83.34688193,5.565028635,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
85,95,47,25.94019018,78.3422098,6.211833161,"Wheat, Maize",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
109,79,45,27.66752761,79.68542782,6.490074429,"Wheat, Maize",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
100,76,45,25.56703012,75.94067692,5.590236025,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
117,86,48,28.6956201,82.54195839,6.225225239,"Wheat, Maize",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
114,94,53,26.33544853,76.8532006,6.190757459,"Wheat, Maize",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
110,78,50,25.93730186,78.89864446,5.915568968,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
94,70,48,25.13686519,84.88394407,6.195152442,"Wheat, Maize",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
80,71,47,27.50527651,80.79783998,6.156373499,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
114,79,51,26.21009246,82.34429458,6.313197204,"Wheat, Maize",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
88,78,45,29.10403455,79.19588629,6.324270089,"Wheat, Maize",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
112,73,48,29.2440638,77.32017166,5.707488987,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
117,76,47,25.56202173,77.38229006,6.119216009,"Wheat, Maize",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
111,87,48,26.3985515,81.36028902,5.571401169,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
89,83,47,28.09577643,77.79586769,5.63127166,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
93,91,47,27.84767901,83.31110751,6.101241579,"Wheat, Maize",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
92,81,52,27.39341554,81.4654833,6.438137279,"Wheat, Maize",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
105,74,45,25.14517635,81.38204104,6.098369122,"Wheat, Maize",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
102,71,48,28.65456263,79.28693687,5.695267822,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
94,91,51,29.16093424,76.67484233,5.618094446,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
116,71,47,27.57278064,82.0638878,6.435785799,"Wheat, Maize",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
117,79,49,25.40909896,82.36208097,6.176644228,"Wheat, Maize",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
119,72,55,25.99069521,83.33983116,6.220643671,"Wheat, Maize",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
99,73,53,26.29039046,81.06003778,5.871702211,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
91,84,52,29.14827211,78.71024836,6.390741836,"Wheat, Maize",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
80,90,47,26.59743595,79.35898915,6.21084479,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
101,70,48,25.36059237,75.03193255,6.012696655,"Wheat, Maize",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
108,89,53,29.12036889,80.18080728,5.908770059,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
100,80,52,27.53911354,77.25629897,6.049801781,"Wheat, Maize",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
109,91,53,29.66727337,83.51014178,6.010095853,"Wheat, Maize",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
82,78,46,25.05802193,84.97323747,5.738678895,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
106,70,55,25.86824781,78.52399914,5.74055541,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
90,86,52,25.85036988,81.95580471,5.793260262,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
83,95,50,26.51682337,77.79913575,5.50947065,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
119,90,48,28.66725136,79.59242542,5.986442306,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
107,72,45,28.14938935,81.54448882,5.790768046,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
116,81,55,26.42313317,83.6995044,5.915546415,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
101,75,50,26.59386409,81.40740301,6.242528278,"Wheat, Maize",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
93,81,50,27.71822477,76.57853189,6.036079266,"Wheat, Maize",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
95,75,45,28.98333432,82.95958244,5.829898502,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
107,71,55,29.42017919,83.96754496,6.088064451,"Wheat, Maize",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
83,94,47,27.39872329,81.10523402,6.469370954,"Wheat, Maize",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
102,73,54,26.4020227,84.41007614,5.720726906,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
86,79,45,27.81251452,82.69285419,5.80766417,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
117,86,53,25.19640218,83.55829874,5.703381728,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
111,79,53,28.31193338,75.77363772,6.165001278,"Wheat, Maize",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
95,74,50,25.90113128,80.47152737,6.002481605,"Wheat, Maize",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
91,75,55,27.48612983,76.11239849,6.212369363,"Wheat, Maize",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
93,83,46,29.38254012,83.50423735,5.765308943,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
92,85,51,29.22118628,81.08183635,5.740764682,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
104,80,54,27.09062164,81.33506906,5.879119455,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
103,72,51,26.12643374,81.81365007,6.099478745,"Wheat, Maize",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
92,75,45,29.01207743,77.95192527,5.674403359,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
93,85,49,27.96799119,79.28625709,5.694243847,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
120,87,52,28.0764455,76.05522115,5.905494703,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
108,72,46,25.16278237,84.97849241,6.110844721,"Wheat, Maize",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
105,88,54,25.78749808,84.51194224,6.020445317,"Wheat, Maize",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
98,79,50,25.34119774,84.47321314,6.435917308,"Wheat, Maize",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
111,88,55,29.44795403,78.34971537,5.505393833,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
97,74,45,26.47522633,78.51833782,5.677719902,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
95,82,48,27.39489579,83.31172003,5.719014989,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
89,91,55,25.08347445,80.261731,6.275572298,"Wheat, Maize",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
89,85,55,26.6719835,76.48541655,6.275384607,"Wheat, Maize",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
118,88,51,25.44926208,79.49221962,6.201911642,"Wheat, Maize",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
101,92,45,28.22776705,80.6430384,5.758054257,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
99,92,47,28.1279509,77.48247073,6.323933647,"Wheat, Maize",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
82,77,46,28.9470467,82.1888998,5.901100841,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
90,86,55,27.96236771,84.15403614,5.644486582,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
95,88,52,28.00316034,78.90085998,6.235461772,"Wheat, Maize",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
104,73,46,29.1400919,80.1190228,6.28236237,"Wheat, Maize",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
102,73,52,27.9122104,83.36307683,6.356090905,"Wheat, Maize",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
100,74,52,25.43480512,81.53977797,5.837258235,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
94,89,48,28.55980972,84.51602322,5.653437902,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
99,70,46,26.59580783,82.99556744,5.727469947,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
112,87,48,27.19711623,77.3970629,6.200111068,"Wheat, Maize",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
117,82,45,25.29391516,79.29122198,5.614471478,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
96,86,51,29.90888522,76.98740841,6.257369799,"Wheat, Maize",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
113,85,45,27.94972463,76.63713353,6.037430836,"Wheat, Maize",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
105,93,46,25.01018457,78.76260938,5.760457558,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
85,89,51,29.21144871,84.70189923,6.158164422,"Wheat, Maize",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
108,94,47,27.35911627,84.54625006,6.387431383,"Wheat, Maize",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
92,81,52,28.0106804,76.52808057,5.891413895,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
110,71,54,28.67208915,82.20793613,5.725418961,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
82,75,55,27.34585147,78.4873835,6.281069505,"Wheat, Maize",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
117,81,53,29.50704598,78.20585613,5.507641778,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
2,40,27,29.73770045,47.54885174,5.954626604,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
39,24,31,33.55695561,53.72979826,4.757114897,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
21,26,27,27.00315545,47.67525434,5.699586972,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
25,22,25,33.56150184,45.53556603,5.977413803,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
0,21,32,35.89855625,54.25964196,6.430139436,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
20,19,35,34.17719782,50.62161586,6.113935087,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
19,21,34,30.01592643,53.19212381,5.074272692,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
18,17,31,31.74592134,45.16127859,5.667507706,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
11,36,33,35.99009679,52.22780489,5.978634285,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
30,28,30,31.86641378,52.19331595,5.064613314,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
18,19,27,27.75518664,52.34605806,4.772385986,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
23,23,27,34.72413192,51.4271781,5.161148592,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
37,30,34,27.53907547,53.63549533,6.797779227,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
11,27,30,27.69637763,48.5622488,6.39474303,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
12,19,31,27.25373364,52.66319725,5.566704378,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
3,28,33,30.33723921,48.88704844,5.755049971,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
37,38,32,31.85744939,45.53106268,5.417340525,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
26,37,30,35.39986338,49.45962621,6.166173834,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
14,18,30,29.80747243,52.13797867,5.191265116,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
40,16,35,34.16438906,54.16482251,4.954739564,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
4,20,25,28.93270187,47.94053996,5.664587011,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
36,25,33,27.98392787,53.33018851,5.548584852,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
30,17,31,31.20478173,54.49960506,6.804437106,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
28,37,28,32.13409675,50.52559148,6.097869767,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
38,15,30,28.91862016,48.13974548,5.075504537,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
12,37,30,31.09779147,47.41196659,4.546466109,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
38,19,31,34.73823882,49.08864345,5.855119268,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
8,33,29,29.98080499,49.48613279,6.442393461,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
15,27,28,33.80398664,46.12866113,4.507523551,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
34,16,25,30.07202564,50.96040505,6.10729559,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
11,36,31,27.92063282,51.77965917,6.47544932,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
33,29,34,31.40948821,49.21729127,6.832979509,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
12,31,26,35.7877738,51.94190321,5.395275719,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
12,34,28,33.36140093,45.02236377,6.13526938,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
5,16,31,35.96054636,48.69677802,4.555688532,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
1,30,29,28.33333307,51.39586505,6.434197756,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
16,35,31,32.27652024,50.19368841,5.316875978,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
35,18,26,31.99490489,50.84881347,5.279388967,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
4,40,26,27.58258929,48.56916221,6.720041791,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
9,29,34,29.38471637,45.88744691,5.72742254,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
2,38,33,32.38697531,53.2328243,4.691396195,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
26,32,32,30.91471455,49.92963856,6.810186079,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
34,38,31,35.37775595,45.58110023,6.454045329,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
5,32,33,32.32362177,52.5896771,5.842763773,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
31,29,26,28.22373428,47.40519056,5.024124684,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
34,34,35,27.27433181,47.16808054,6.422710539,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
36,19,32,27.10710832,50.70880979,4.94295037,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
7,17,26,34.89226666,48.75613373,6.414526606,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
38,15,27,33.7462686,48.50387598,6.777788126,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
5,19,25,27.3511056,54.43945147,6.441328044,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
37,36,26,32.89300162,52.61323969,4.650536197,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
21,31,32,35.38598705,51.42664176,5.254532213,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
37,36,27,27.5529736,47.90859131,5.910634533,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
23,23,30,32.82141065,47.45553843,4.755273631,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
36,26,26,30.17294105,51.0845903,6.814630246,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
24,33,35,29.26382931,54.82257868,5.342866119,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
26,18,30,32.06097197,51.08494181,6.336234624,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
22,17,26,28.69818144,47.71875722,4.754435025,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
11,34,32,29.14305008,49.40983294,6.831706773,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
29,35,28,28.3471611,53.53903102,6.967417766,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
22,28,26,27.67256197,45.41692012,4.947683034,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
23,24,32,28.1218093,46.16888595,5.630619901,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
1,35,34,30.79375683,46.69536813,6.27339822,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
2,24,34,28.89409382,54.80750249,6.472774648,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
39,37,25,33.33024826,45.61143594,6.953246506,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
15,36,27,27.78912455,53.96886679,5.643710216,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
3,18,31,31.65333432,48.20662669,6.392313973,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
8,38,32,29.75150773,46.73723302,4.981816523,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
33,31,34,31.32995611,50.22287593,5.421265283,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
14,29,32,35.63627319,48.97047762,6.942520105,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
18,20,26,31.66524687,51.98594645,5.435840509,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
9,21,32,32.26935342,53.56092806,5.870116071,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
20,30,27,27.81005614,51.59445462,4.74910393,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
9,38,25,34.58561471,50.34035336,5.497946899,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
26,24,34,31.27180992,52.23810152,6.811291098,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
31,36,29,33.93679864,52.72170281,6.460542749,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
14,18,35,31.09154239,47.02058367,4.791146778,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
40,16,35,31.89356292,49.02450149,6.4841522,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
28,27,34,32.45465292,50.69693751,6.526654345,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
0,17,30,35.47478322,47.97230503,6.279133738,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
1,29,29,27.32961444,49.30347234,6.052026047,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
2,36,31,30.90225239,49.95955487,5.73171945,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
12,27,26,29.09382275,45.5661059,5.32307197,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
7,28,35,30.02086169,46.78393776,4.66910839,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
0,36,26,34.13072188,51.25786185,5.101206389,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
26,35,31,33.44619894,53.05980465,5.339556562,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
27,21,30,35.3915464,52.48823147,5.061081874,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
22,38,31,31.53356352,53.06009323,5.821106036,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
22,18,31,30.7645515,47.93791463,5.956027059,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
28,23,28,30.01821337,50.0983181,5.676032581,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
7,31,27,31.32863689,47.59319575,6.524114355,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
29,34,26,33.88004781,54.39416048,6.273953676,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
8,37,33,28.07802689,54.9640534,6.128167757,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
39,16,27,35.53845018,52.94641947,4.934964765,"Rice, Potatoes",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
40,24,25,28.70595247,50.44030129,5.445008416,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
19,38,26,31.48451729,48.77926304,4.525722333,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
21,21,30,27.69819273,51.41593238,5.403908328,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
22,18,33,30.41235793,52.48100602,6.621623545,"Beans, Peas",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
31,20,30,32.17752026,54.01352682,6.207495815,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
18,26,31,32.6112614,47.74916499,5.418475257,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
24,130,195,29.99677232,81.54156612,6.112305667,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
13,144,204,30.7280404,82.42614055,6.092241627,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
22,123,205,32.44577836,83.88504863,5.896343436,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
36,125,196,37.46566825,80.65968681,6.15526103,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
24,131,196,22.03296178,83.74372787,5.732453638,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
2,123,198,39.64851881,82.21079946,6.253034534,"Beans, Peas",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
35,140,197,16.77557314,82.75241875,6.106190557,"Beans, Peas",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
11,122,195,12.14190714,83.56812483,5.647202395,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
6,123,203,12.7567962,81.62497448,6.130310493,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
17,134,204,39.04071989,80.18393287,6.499604931,"Beans, Peas",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
25,130,197,39.70772192,82.68593454,5.554831977,"Rice, Potatoes",Nitrogen,>80 ppm,Leaf Scorch,"Rice, Wheat"
27,145,205,9.467960445,82.29335466,5.800242694,"Rice, Potatoes",Phosphorus,>60 ppm,Reduced Zinc Absorption,"Wheat, Maize"
9,122,201,29.58748357,80.91934392,5.570290539,"Rice, Potatoes",Potassium,>50 ppm,Nutrient Imbalance,"Rice, Barley"
16,139,203,17.82803682,80.96093443,6.27564088,"Beans, Peas",pH,<5.5,Acidic Soil Stress,"Barley, Sugarcane"
32,141,204,8.825674745,82.89753705,5.536645599,"Rice, Potatoes",Nitrogen,>80 ppm,Excess Vegetative Growth,"Corn, Maize"
